addr_state;last_credit_pull_d;loan_status
CA;;"Fully Paid"
CA;01-01-2008;"Fully Paid"
VA;01-01-2008;"Fully Paid"
FL;01-01-2009;"Fully Paid"
DC;01-01-2009;"Charged Off"
WA;01-01-2009;"Fully Paid"
CA;01-01-2009;"Charged Off"
FL;01-01-2009;"Charged Off"
CA;01-01-2009;"Fully Paid"
VA;01-01-2009;"Fully Paid"
MA;01-01-2009;"Fully Paid"
NV;01-01-2009;"Charged Off"
IL;01-01-2009;"Charged Off"
NY;01-01-2009;"Charged Off"
CT;01-01-2009;"Fully Paid"
LA;01-01-2009;"Fully Paid"
TX;01-01-2010;"Fully Paid"
MT;01-01-2010;"Fully Paid"
OR;01-01-2010;"Fully Paid"
VA;01-01-2010;"Fully Paid"
WI;01-01-2010;"Fully Paid"
CA;01-01-2010;"Fully Paid"
OH;01-01-2010;"Fully Paid"
AZ;01-01-2011;"Fully Paid"
WI;01-01-2011;"Fully Paid"
NY;01-01-2011;"Charged Off"
FL;01-01-2011;"Charged Off"
TX;01-01-2011;"Fully Paid"
OH;01-01-2011;"Fully Paid"
MI;01-01-2011;"Fully Paid"
MD;01-01-2011;"Fully Paid"
CA;01-01-2011;"Fully Paid"
FL;01-01-2011;"Fully Paid"
VT;01-01-2011;"Fully Paid"
NJ;01-01-2011;"Fully Paid"
MA;01-01-2011;"Fully Paid"
NY;01-01-2011;"Fully Paid"
MN;01-01-2011;"Fully Paid"
PA;01-01-2011;"Charged Off"
OR;01-01-2011;"Fully Paid"
VA;01-01-2011;"Fully Paid"
GA;01-01-2011;"Fully Paid"
NV;01-01-2011;"Fully Paid"
WA;01-01-2011;"Fully Paid"
NC;01-01-2011;"Fully Paid"
PA;01-01-2011;"Fully Paid"
CT;01-01-2011;"Fully Paid"
IN;01-01-2011;"Fully Paid"
OH;01-01-2012;"Charged Off"
CA;01-01-2012;"Fully Paid"
MA;01-01-2012;"Fully Paid"
AL;01-01-2013;"Fully Paid"
GA;01-01-2013;"Fully Paid"
FL;01-01-2013;"Fully Paid"
CA;01-01-2013;"Fully Paid"
PA;01-01-2013;"Fully Paid"
VA;01-01-2014;"Fully Paid"
TX;01-01-2014;"Fully Paid"
CA;01-01-2014;"Fully Paid"
IL;01-01-2014;"Fully Paid"
NC;01-01-2015;"Fully Paid"
FL;01-01-2015;"Fully Paid"
NJ;01-01-2015;"Fully Paid"
CA;01-01-2015;"Fully Paid"
LA;01-01-2015;"Fully Paid"
NY;01-01-2015;"Fully Paid"
CO;01-01-2015;"Fully Paid"
CA;01-01-2016;"Fully Paid"
MI;01-01-2016;"Fully Paid"
KY;01-01-2016;"Fully Paid"
OK;01-01-2016;"Fully Paid"
MO;01-01-2016;"Fully Paid"
NY;01-01-2016;"Fully Paid"
IL;01-01-2016;"Fully Paid"
NM;01-01-2016;"Fully Paid"
FL;01-01-2016;"Fully Paid"
UT;01-01-2016;"Fully Paid"
LA;01-01-2016;"Fully Paid"
TX;01-01-2016;"Fully Paid"
MI;01-02-2008;"Fully Paid"
ID;01-02-2008;"Fully Paid"
TX;01-02-2008;"Fully Paid"
CO;01-02-2009;"Fully Paid"
UT;01-02-2009;"Charged Off"
FL;01-02-2009;"Fully Paid"
NY;01-02-2009;"Fully Paid"
GA;01-02-2009;"Fully Paid"
TX;01-02-2009;"Fully Paid"
AL;01-02-2009;"Fully Paid"
NJ;01-02-2009;"Fully Paid"
